timestamp,voltage_kv,current_a,oil_temperature_c,vibration_mm_s,oil_level_percent,load_factor_percent,ambient_temperature_c,fault_status
2023-01-01 00:00:00,232.48,147.2,70.2,0.65,94.3,71.5,40.8,Normal
2023-01-01 01:00:00,233.84,140.6,69.3,0.45,93.6,78.6,5.9,Normal
2023-01-01 02:00:00,221.38,138.8,56.9,0.53,92.3,53.8,39.7,Normal
2023-01-01 03:00:00,228.87,151.4,53.6,0.45,95.3,57.7,28.8,Normal
2023-01-01 04:00:00,227.0,144.2,60.2,0.69,95.0,59.1,33.2,Normal
2023-01-01 05:00:00,223.9,154.2,49.3,0.37,95.6,86.1,26.7,Normal
2023-01-01 06:00:00,224.07,172.5,60.2,0.66,85.7,106.1,34.1,Warning
2023-01-01 07:00:00,221.18,156.5,61.9,0.43,96.8,90.5,34.3,Normal
2023-01-01 08:00:00,225.8,143.8,67.7,0.6,93.6,72.2,13.9,Normal
2023-01-01 09:00:00,224.02,166.3,75.8,0.49,98.0,80.4,18.5,Normal
2023-01-01 10:00:00,231.81,180.8,64.7,0.66,87.1,87.3,25.9,Normal
2023-01-01 11:00:00,228.5,151.8,49.1,0.48,96.1,97.2,19.8,Normal
2023-01-01 12:00:00,225.96,140.0,72.3,0.53,93.4,82.7,26.0,Normal
2023-01-01 13:00:00,234.84,136.0,62.4,0.46,90.6,79.4,27.6,Normal
2023-01-01 14:00:00,230.03,145.3,53.7,0.46,94.0,63.0,23.4,Normal
2023-01-01 15:00:00,232.02,187.7,66.4,0.53,94.8,46.2,24.7,Normal
2023-01-01 16:00:00,230.3,199.3,63.5,0.53,94.9,57.5,36.4,Normal
2023-01-01 17:00:00,233.76,165.8,57.7,0.64,90.8,83.8,46.9,Normal
2023-01-01 18:00:00,217.08,165.8,76.0,0.7,80.2,86.4,17.3,Warning
2023-01-01 19:00:00,232.37,131.6,77.4,0.42,94.0,87.2,12.7,Normal
2023-01-01 20:00:00,226.82,212.7,58.9,0.84,89.3,100.6,15.2,Warning
2023-01-01 21:00:00,223.4,160.4,67.4,0.53,96.0,64.8,27.3,Normal
2023-01-01 22:00:00,231.47,135.7,79.9,0.55,91.4,84.8,15.3,Normal
2023-01-01 23:00:00,233.94,173.2,58.4,0.6,96.2,87.3,44.0,Normal
2023-01-02 00:00:00,207.06,197.4,76.7,1.26,79.4,103.5,39.2,Critical
2023-01-02 01:00:00,234.14,150.3,76.6,0.47,100.0,84.4,16.4,Normal
2023-01-02 02:00:00,224.65,159.6,63.2,0.57,96.4,73.9,16.5,Normal
2023-01-02 03:00:00,222.43,141.1,71.9,0.52,91.3,77.6,28.9,Normal
2023-01-02 04:00:00,217.93,183.8,75.6,0.57,89.8,96.2,43.0,Warning
2023-01-02 05:00:00,235.27,122.4,57.5,0.55,96.5,82.7,50.0,Normal
2023-01-02 06:00:00,229.57,208.4,84.5,0.93,86.4,100.2,20.7,Warning
2023-01-02 07:00:00,228.82,140.3,65.7,0.73,89.4,85.3,8.9,Normal
2023-01-02 08:00:00,227.64,171.8,65.5,0.39,92.9,85.2,17.7,Normal
2023-01-02 09:00:00,212.6,221.4,80.2,2.14,85.1,44.4,37.8,Critical
2023-01-02 10:00:00,226.69,167.0,58.7,0.49,96.5,88.0,13.0,Normal
2023-01-02 11:00:00,228.33,140.5,59.8,0.68,96.2,56.1,34.2,Normal
2023-01-02 12:00:00,241.98,205.8,59.8,0.7,94.3,70.8,35.3,Warning
2023-01-02 13:00:00,233.87,131.5,64.5,0.18,91.9,71.2,12.5,Normal
2023-01-02 14:00:00,238.06,144.2,70.6,0.83,95.2,56.3,44.0,Warning
2023-01-02 15:00:00,230.05,130.4,68.7,0.52,93.2,76.0,21.1,Normal
2023-01-02 16:00:00,230.57,163.2,77.7,0.38,100.0,45.7,23.5,Normal
2023-01-02 17:00:00,232.94,155.6,60.0,0.48,93.5,66.2,33.5,Normal
2023-01-02 18:00:00,231.79,136.1,72.2,0.53,97.4,84.4,16.7,Normal
2023-01-02 19:00:00,227.2,164.9,69.9,0.5,95.4,94.2,19.1,Normal
2023-01-02 20:00:00,232.74,146.0,63.3,0.61,97.5,87.2,38.1,Normal
2023-01-02 21:00:00,230.11,163.6,62.5,0.53,94.6,76.5,31.0,Normal
2023-01-02 22:00:00,225.91,191.8,57.0,0.38,98.5,86.9,31.2,Normal
2023-01-02 23:00:00,233.14,149.8,57.8,0.51,93.0,89.6,23.5,Normal
2023-01-03 00:00:00,225.87,143.6,68.3,0.44,92.5,78.7,27.4,Normal
2023-01-03 01:00:00,227.47,140.6,66.9,0.36,90.8,64.2,22.9,Normal
2023-01-03 02:00:00,231.55,179.5,71.9,0.48,94.9,60.0,24.8,Normal
2023-01-03 03:00:00,228.56,156.5,58.4,0.55,99.6,73.4,29.0,Normal
2023-01-03 04:00:00,233.45,142.0,66.8,0.5,95.3,63.4,25.2,Normal
2023-01-03 05:00:00,228.98,216.3,84.6,1.23,84.2,102.4,32.2,Warning
2023-01-03 06:00:00,240.95,133.8,58.3,0.44,88.6,67.1,17.4,Normal
2023-01-03 07:00:00,230.75,156.8,80.0,0.6,93.3,61.5,29.9,Normal
2023-01-03 08:00:00,223.4,186.6,74.4,0.45,89.9,95.3,23.9,Normal
2023-01-03 09:00:00,236.19,118.1,60.2,0.5,95.1,68.2,31.2,Normal
2023-01-03 10:00:00,224.66,147.2,66.0,0.55,97.1,58.1,9.7,Normal
2023-01-03 11:00:00,236.39,156.6,59.0,0.66,95.3,92.7,25.7,Normal
2023-01-03 12:00:00,234.73,272.7,86.3,1.79,85.2,120.0,20.5,Critical
2023-01-03 13:00:00,233.43,171.2,50.9,0.38,88.9,71.0,32.2,Normal
2023-01-03 14:00:00,237.51,151.5,78.0,0.36,89.9,74.2,28.8,Normal
2023-01-03 15:00:00,229.84,108.7,64.3,0.37,97.0,80.5,15.6,Normal
2023-01-03 16:00:00,220.89,153.5,74.4,0.99,83.1,95.1,23.6,Warning
2023-01-03 17:00:00,226.04,147.9,56.7,0.44,91.4,104.5,25.4,Normal
2023-01-03 18:00:00,226.5,154.3,64.1,0.48,96.8,86.4,19.7,Normal
2023-01-03 19:00:00,227.12,144.5,46.6,0.35,99.1,99.7,22.5,Normal
2023-01-03 20:00:00,232.88,156.2,89.6,0.61,94.6,60.7,8.9,Normal
2023-01-03 21:00:00,231.02,134.9,53.6,0.44,91.8,100.3,33.8,Normal
